Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$201
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Apartment with Queen Bed and Balcony,2.2 miles from downtown,N/A,$180
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Queen Room,0.5 miles from downtown,N/A,$161
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"The Slate Hotel Downtown, Sonder by Marriott Bonvoy","Entertainment District, Toronto (Entertainment District)",Queen Room,0.7 miles from downtown,N/A,$184
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$152
2025-09-24,booking.com,2,2025-10-10,2025-10-13,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",Historic Studio Suite - Interior View,0.3 miles from downtown,N/A,$212
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",King Room with City View - Non Smoking,0.9 miles from downtown,N/A,$315
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Suite,1.2 miles from downtown,N/A,$199
2025-09-24,booking.com,2,2025-10-10,2025-10-13,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",King Room,0.3 miles from downtown,N/A,$177
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Queen Room with Two Queen Beds - Non-Smoking,9 miles from downtown,N/A,$111
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$147
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,Room with Two Queen Beds - Non-Smoking,11 miles from downtown,N/A,$136
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1 miles from downtown,N/A,$198
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Studio,0.3 miles from downtown,N/A,$219
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,N/A,$123
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$138
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,N/A,$252
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2 miles from downtown,N/A,$114
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4 miles from downtown,N/A,$337
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room with Lake View,2 miles from downtown,N/A,$271
2025-09-24,booking.com,2,2025-10-10,2025-10-13,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic King Room,0.5 miles from downtown,N/A,$217
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,N/A,$120
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$251
2025-09-24,booking.com,2,2025-10-10,2025-10-13,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds - Renovated,0.5 miles from downtown,N/A,$299
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",King Suite - Non-Smoking,10.5 miles from downtown,N/A,$124
2025-09-24,booking.com,2,2025-10-10,2025-10-13,The Yorkville Royal Sonesta Hotel Toronto,"The Annex, Toronto (The Annex)",King Room with Roll-In Shower - Mobility Accessible,1.3 miles from downtown,N/A,$236
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Novotel Toronto North York,"North York, Toronto",Superior King Room,8.2 miles from downtown,N/A,$178
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard King Room,0.5 miles from downtown,N/A,$217
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",King Room,1.4 miles from downtown,N/A,$211
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Hilton Toronto,"Financial District, Toronto (Financial District)",King Room,0.2 miles from downtown,N/A,$197
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Toronto Midtown Home Suites,Toronto,Double Room,3.6 miles from downtown,N/A,$90
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,N/A,$339
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,11 miles from downtown,N/A,$132
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Delta Hotels by Marriott Toronto Airport & Conference Centre,"Etobicoke, Toronto",Double Queen Room,10.2 miles from downtown,N/A,$135
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Margie Townhome Suites,"The Village, Toronto (The Village)",Suite,0.6 miles from downtown,N/A,$176
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto Airport East by IHG,"Etobicoke, Toronto",Standard King Room,9.9 miles from downtown,N/A,$129
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Express & Suites Toronto Airport South by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard King Room,10.5 miles from downtown,N/A,$134
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Double Room - Disability Access/Roll-In Shower,0.7 miles from downtown,N/A,$188
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Courtyard by Marriott Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Queen Room with Two Queen Beds,10.9 miles from downtown,N/A,$120
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Adas Guesthouse,"Downtown Toronto, Toronto",Standard Queen Room,1.3 miles from downtown,N/A,$90
2025-09-24,booking.com,2,2025-10-10,2025-10-13,W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Deluxe King Room,1.3 miles from downtown,N/A,$248
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",Queen Room wih Two Queen Beds,0.7 miles from downtown,N/A,$180
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Union Hotel,"Financial District, Toronto (Financial District)",Queen Room,0.4 miles from downtown,N/A,$232
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Deluxe Suites at York,"Entertainment District, Toronto (Entertainment District)",Studio Apartment with Harbor View,0.7 miles from downtown,Late Escape Deal,$184
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8 miles from downtown,N/A,$405
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Queen Nest Hotel,"Downtown Toronto, Toronto",Standard Queen Room,1.3 miles from downtown,N/A,$127
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Luxury Properties close to Rogers Center in Toronto Downtown Core,"Kensington Market, Toronto (Kensington Market)",Villa,1 miles from downtown,N/A,$723
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Double Room with Two Double Beds,0.6 miles from downtown,N/A,$208
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Yorkville Plaza Suites - Pool & Hot Tub,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Two-Bedroom Apartment,1.4 miles from downtown,N/A,$433
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Chic Toronto Suite,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,N/A,$217
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Sheraton Toronto Airport Hotel & Conference Centre,"Etobicoke, Toronto","Traditional, Guest room, 2 Queen",10.5 miles from downtown,N/A,$156
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Toronto Don Valley Hotel and Suites,"North York, Toronto",Double Room with Two Double Beds,5.7 miles from downtown,N/A,$132
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Tom home,Toronto,Double Room with Shared Toilet,5 miles from downtown,N/A,$60
2025-09-24,booking.com,2,2025-10-10,2025-10-13,586 Hotel,"Kensington Market, Toronto (Kensington Market)",Double Room,0.9 miles from downtown,N/A,$135
2025-09-24,booking.com,2,2025-10-10,2025-10-13,EST Hotel,"Etobicoke, Toronto",Standard one Queen bed,13 miles from downtown,N/A,$160
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"Revery Toronto Downtown, Curio Collection by Hilton","Entertainment District, Toronto (Entertainment District)",King Room,0.6 miles from downtown,N/A,$191
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Kimpton Saint George Hotel by IHG,"The Annex, Toronto (The Annex)",King Room,1.4 miles from downtown,N/A,$235
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Old Mill Toronto Hotel,"Etobicoke, Toronto",Basic Queen Room,5.5 miles from downtown,N/A,$215
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Modern Private Room Private Bathroom with King Bed with TV and Optional Balcony 10 minutes to Rogers Stadium Midtown Downtown Toronto,"North York, Toronto",Triple Room with Private Bathroom,7.5 miles from downtown,N/A,$130
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Warm Downtown Home,"Old Town Toronto, Toronto (Old Town Toronto)",Double Room,0.5 miles from downtown,Late Escape Deal,$132
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Core Downtown Toronto-3 Bedrooms-2 Bathrooms-Washrooms-Free Parking-CN Tower-Ripleys Museum-Blue Jays Stadium In front-Indoor Gym-Swimming Pool-Jacuzzi Sauna-Filter Drinking Water-WiFi,"Entertainment District, Toronto (Entertainment District)",Three-Bedroom Apartment,0.7 miles from downtown,N/A,$343
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Falstaff Home,Toronto,Double Room,7.3 miles from downtown,N/A,$83
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Comfort Inn & Conference Centre Toronto Airport,"Etobicoke, Toronto",Standard King Room,10.7 miles from downtown,N/A,$116
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"The Westin Harbour Castle, Toronto","The Harbourfront, Toronto (The Harbourfront)","Guest room, 1 King, Lake view",0.8 miles from downtown,N/A,$240
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Le Germain Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Classic Queen Room,0.6 miles from downtown,N/A,$230
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Stay Inn Hotel Toronto,"Etobicoke, Toronto",Business King Room - Fully Renovated 2021,8.6 miles from downtown,N/A,$163
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Courtyard by Marriott Toronto Downtown,"The Village, Toronto (The Village)",King Room with City View,0.8 miles from downtown,N/A,$199
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Super 8 by Wyndham Toronto East ON,"Scarborough, Toronto",Queen Room - Smoking,9.7 miles from downtown,N/A,$113
2025-09-24,booking.com,2,2025-10-10,2025-10-13,1 Hotel Toronto,"Fashion District, Toronto (Fashion District)",Studio King,1.2 miles from downtown,N/A,$363
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Dragon Gate Inn,"Downtown Toronto, Toronto",Superior Studio (2 Adults),1.3 miles from downtown,N/A,$124
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Four Seasons Hotel Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)",Superior King Room,1.4 miles from downtown,N/A,$434
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Residence Inn by Marriott Toronto Airport,"Etobicoke, Toronto",King or Queen Suite with Sofa Bed,10.6 miles from downtown,N/A,$131
2025-09-24,booking.com,2,2025-10-10,2025-10-13,freed Suites - Downtown Toronto,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment with Balcony,0.4 miles from downtown,N/A,$339
2025-09-24,booking.com,2,2025-10-10,2025-10-13,The Westin Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)","Traditional, Guest room, 1 King",11.1 miles from downtown,N/A,$134
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Nox Hostel,"Downtown Toronto, Toronto",Double Room with Shared Bathroom,1.3 miles from downtown,Late Escape Deal,$84
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Designer One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.4 miles from downtown,N/A,$289
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Royal Oak Inn,"Cabbagetown, Toronto (Cabbagetown)",Twin Room,0.8 miles from downtown,N/A,$144
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"The Ellios Suites - In Downtown Toronto, Opposite CN Tower & Rogers Centre","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,N/A,$252
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Pantages Hotel Toronto Centre,"Yonge - Dundas, Toronto (Yonge - Dundas)",City King Room,0.2 miles from downtown,N/A,$234
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"Toor Hotel Toronto, Part Of Jdv By Hyatt","Downtown Toronto, Toronto",King Room,0.5 miles from downtown,N/A,$215
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Hotel Victoria,"Financial District, Toronto (Financial District)",Standard Queen Room,0.3 miles from downtown,N/A,$210
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Modern Toronto Lake View & CN Tower View - One Free Parking,"The Harbourfront, Toronto (Entertainment District)",Two-Bedroom Apartment,0.6 miles from downtown,Late Escape Deal,$291
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Two BD CN Tower and Lake Ontario View,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,N/A,$350
2025-09-24,booking.com,2,2025-10-10,2025-10-13,"Designer 1BR Suite with CN Tower, Skyline view","Yonge - Dundas, Toronto (Yonge Street)",One-Bedroom Apartment,0.1 miles from downtown,N/A,$231
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Park Hyatt Toronto,"The Annex, Toronto (The Annex)",King Room,1.4 miles from downtown,N/A,$499
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Madison Manor Boutique Hotel,"The Annex, Toronto (The Annex)",King or Queen Room,1.5 miles from downtown,N/A,$209
2025-09-24,booking.com,2,2025-10-10,2025-10-13,Belarte Suites - Downtown Toronto - CN Tower & Rogers Centre,"Entertainment District, Toronto (Entertainment District)",Three-Bedroom Apartment,0.7 miles from downtown,N/A,$722
