Date,Source,Check-in Date,Check-out Date,name,score,price
2025-09-19,booking.com,2025-10-03,2025-10-06,Riu Plaza Toronto,N/A,$261
2025-09-19,booking.com,2025-10-03,2025-10-06,Chelsea Hotel Toronto,N/A,$205
2025-09-19,booking.com,2025-10-03,2025-10-06,Samesun Toronto,N/A,$142
2025-09-19,booking.com,2025-10-03,2025-10-06,One King West Hotel and Residence,Location 9.6,$254
2025-09-19,booking.com,2025-10-03,2025-10-06,Woodbine Hotel & Suites,N/A,$111
2025-09-19,booking.com,2025-10-03,2025-10-06,Town Inn Suites Hotel,N/A,$246
2025-09-19,booking.com,2025-10-03,2025-10-06,Holiday Inn Toronto Downtown Centre by IHG,N/A,$239
2025-09-19,booking.com,2025-10-03,2025-10-06,Union Hotel,Location 9.6,$304
2025-09-19,booking.com,2025-10-03,2025-10-06,DoubleTree by Hilton Toronto Downtown,N/A,$310
2025-09-19,booking.com,2025-10-03,2025-10-06,"Rare 1BR - Rooftop Pool, Next to MTCC & CN Tower",Location 10,$328
2025-09-19,booking.com,2025-10-03,2025-10-06,Hampton Inn by Hilton Toronto Airport Corporate Centre,N/A,$122
2025-09-19,booking.com,2025-10-03,2025-10-06,EST Hotel,N/A,$165
2025-09-19,booking.com,2025-10-03,2025-10-06,Pan Pacific Toronto,N/A,$168
2025-09-19,booking.com,2025-10-03,2025-10-06,Toronto Don Valley Hotel and Suites,N/A,$132
2025-09-19,booking.com,2025-10-03,2025-10-06,Comfort Inn & Conference Centre Toronto Airport,N/A,$112
2025-09-19,booking.com,2025-10-03,2025-10-06,"The Westin Harbour Castle, Toronto",Location 9.4,$374
2025-09-19,booking.com,2025-10-03,2025-10-06,Courtyard by Marriott Toronto Downtown,N/A,$251
2025-09-19,booking.com,2025-10-03,2025-10-06,Executive Hotel Cosmopolitan Toronto,N/A,$284
2025-09-19,booking.com,2025-10-03,2025-10-06,Dragon Gate Inn,N/A,$162
2025-09-19,booking.com,2025-10-03,2025-10-06,Stay Inn Hotel Toronto,N/A,$193
2025-09-19,booking.com,2025-10-03,2025-10-06,Sheraton Centre Toronto Hotel,Location 9.4,$286
2025-09-19,booking.com,2025-10-03,2025-10-06,Super 8 by Wyndham Toronto East ON,N/A,$105
2025-09-19,booking.com,2025-10-03,2025-10-06,Toronto Travellers Home,N/A,$134
2025-09-19,booking.com,2025-10-03,2025-10-06,Sandman Signature Toronto Airport Hotel,N/A,$125
2025-09-19,booking.com,2025-10-03,2025-10-06,Nox Hostel,N/A,$84
