Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review Score,Number of Reviews,Rating,Star Rating,Deal Info,Distance from Attraction,Room Type,Location Score,price
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Modern Private Room Private Bathroom with King Bed with TV and Optional Balcony 10 minutes to Rogers Stadium Midtown Downtown Toronto,"North York, Toronto",N/A,N/A,N/A,N/A,Limited-time Deal,7.5 miles from downtown,Triple Room with Private Bathroom,N/A,$98
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"The Slate Hotel Downtown, Sonder by Marriott Bonvoy","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Queen Room,N/A,$278
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,Deluxe Double or Twin Room,N/A,$261
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,10.5 miles from downtown,Standard Room,N/A,$116
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",N/A,N/A,N/A,N/A,N/A,0.5 miles from downtown,Standard Double Room with Two Double Beds,N/A,$203
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Queen Room with Balcony,N/A,$147
2025-09-21,booking.com,2,2025-10-03,2025-10-06,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Tower Deluxe Suite,N/A,$266
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Town Inn Suites Hotel,"The Village, Toronto (The Village)",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Deluxe King Suite,N/A,$169
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,Standard Double Room with Two Double Beds,N/A,$243
2025-09-21,booking.com,2,2025-10-03,2025-10-06,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,King Room,N/A,$305
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,N/A,N/A,N/A,N/A,N/A,11 miles from downtown,Room with Two Queen Beds - Non-Smoking,N/A,$119
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Pan Pacific Toronto,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,7.3 miles from downtown,Deluxe Room King Bed,N/A,$109
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,9 miles from downtown,Queen Room - Non-Smoking,N/A,$106
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",N/A,N/A,N/A,N/A,N/A,0.3 miles from downtown,Junior Suite - CN Tower View,N/A,$285
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)",N/A,N/A,N/A,N/A,N/A,0.1 miles from downtown,"Guest room, 1 Queen",N/A,$321
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,10.7 miles from downtown,"Standard Room, 2 Queen Beds",N/A,$126
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",N/A,N/A,N/A,N/A,N/A,11.2 miles from downtown,Standard Room,N/A,$123
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,N/A,N/A,N/A,N/A,N/A,11 miles from downtown,King Studio Suite - Non-Smoking,N/A,$137
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,11.9 miles from downtown,Racetrack King,N/A,$215
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,One-Bedroom Apartment,N/A,$278
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Stylish One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.7 miles from downtown,One-Bedroom Apartment,N/A,$253
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,Queen Room,N/A,$408
