Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review Score,Number of Reviews,Room Type,price
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,Deluxe Double or Twin Room,$257
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,N/A,N/A,One-Bedroom Apartment with Double Bed and Balcony,$274
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",N/A,N/A,Standard Double Room with Two Double Beds,$202
2025-09-22,booking.com,2,2025-10-03,2025-10-06,INFIVILLA King Suites & Towers Soho Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,One-Bedroom Apartment,$235
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",N/A,N/A,Queen Room with Balcony,$153
2025-09-22,booking.com,2,2025-10-03,2025-10-06,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",N/A,N/A,Historic ONE Suite,$289
2025-09-22,booking.com,2,2025-10-03,2025-10-06,The Yorkville Royal Sonesta Hotel Toronto,"The Annex, Toronto (The Annex)",N/A,N/A,Deluxe King Room,$276
2025-09-22,booking.com,2,2025-10-03,2025-10-06,1BR Space - Downtown Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,Apartment with City View,$206
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,"1 Bedroom Suite, 1 King, Sofa bed, City view",$571
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Private Apartment Close to Airport Toronto Pearson,"Etobicoke, Toronto",N/A,N/A,One-Bedroom Apartment,$83
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Fairmont Royal York Gold Experience,"Financial District, Toronto (Financial District)",N/A,N/A,Fairmont Gold King Room,$943
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Woodbine Hotel & Suites,"Etobicoke, Toronto",N/A,N/A,Queen Room,$108
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Town Inn Suites Hotel,"The Village, Toronto (The Village)",N/A,N/A,Deluxe Suite,$192
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",N/A,N/A,Standard Double Room with Two Double Beds,$239
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,N/A,N/A,Room with Two Queen Beds - Non-Smoking,$129
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Best Western Plus Travel Hotel Toronto Airport,Toronto,N/A,N/A,Queen Room,$126
2025-09-22,booking.com,2,2025-10-03,2025-10-06,N7 Castle Green Retreat-Hot Tub,"Etobicoke, Toronto",N/A,N/A,Three-Bedroom House,$425
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Queen Nest Hotel,"Downtown Toronto, Toronto",N/A,N/A,Standard Queen Room,$126
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Le Germain Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,Deluxe King Room,$314
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",N/A,N/A,Business Queen Room - Non Smoking,$106
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Pan Pacific Toronto,"North York, Toronto",N/A,N/A,Deluxe Room King Bed,$108
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",N/A,N/A,Racetrack King,$211
2025-09-22,booking.com,2,2025-10-03,2025-10-06,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",N/A,N/A,Queen Room,$305
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Exquisite 1 BR suite with study Core Downtown,"Downtown Toronto, Toronto (Entertainment District)",N/A,N/A,One-Bedroom Apartment,$232
2025-09-22,booking.com,2,2025-10-03,2025-10-06,EST Hotel,"Etobicoke, Toronto",N/A,N/A,Standard one Queen bed,$135
2025-09-22,booking.com,2,2025-10-03,2025-10-06,Toronto Don Valley Hotel and Suites,"North York, Toronto",N/A,N/A,Double Room,$104
