Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review Score,Number of Reviews,Star Rating,Room Type,price
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,Superior Double Room,$260
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,N/A,N/A,N/A,One-Bedroom Apartment with Double Bed and Balcony,$273
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",N/A,N/A,N/A,Standard Double Room with Two Double Beds,$205
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",N/A,N/A,N/A,Queen Room with Balcony,$160
2025-09-23,booking.com,2,2025-10-03,2025-10-06,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",N/A,N/A,N/A,Tower Premium Suite,$320
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Town Inn Suites Hotel,"The Village, Toronto (The Village)",N/A,N/A,N/A,Deluxe King Bed,$200
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",N/A,N/A,N/A,Standard Double Room with Two Double Beds,$243
2025-09-23,booking.com,2,2025-10-03,2025-10-06,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",N/A,N/A,N/A,Queen Room,$305
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Pan Pacific Toronto,"North York, Toronto",N/A,N/A,N/A,Premier Room king bed,$127
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,N/A,N/A,N/A,Room with Two Queen Beds - Non-Smoking,$117
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)",N/A,N/A,N/A,"Premium Guest Room, 1 King, Nathan Philips Square View",$384
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",N/A,N/A,N/A,1 Bedroom,$282
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto",N/A,N/A,N/A,"Standard Room, 2 Queen Beds",$125
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",N/A,N/A,N/A,Racetrack King,$215
2025-09-23,booking.com,2,2025-10-03,2025-10-06,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,One-Bedroom Apartment,$277
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",N/A,N/A,N/A,Standard Room,$127
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",N/A,N/A,N/A,Queen Room,$451
2025-09-23,booking.com,2,2025-10-03,2025-10-06,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,Classic Double Room with Two Double Beds,$354
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Best Western Plus Travel Hotel Toronto Airport,Toronto,N/A,N/A,N/A,Queen Room,$121
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Gladstone House,"West Queen West, Toronto (West Queen West)",N/A,N/A,N/A,Studio Queen,$308
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",N/A,N/A,N/A,Two-Room King Suite,$149
2025-09-23,booking.com,2,2025-10-03,2025-10-06,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,N/A,N/A,Suite Premier,$329
2025-09-23,booking.com,2,2025-10-03,2025-10-06,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,N/A,N/A,N/A,King Room,$373
2025-09-23,booking.com,2,2025-10-03,2025-10-06,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",N/A,N/A,N/A,Standard Room,$116
2025-09-23,booking.com,2,2025-10-03,2025-10-06,The Yorkville Royal Sonesta Hotel Toronto,"The Annex, Toronto (The Annex)",N/A,N/A,N/A,Deluxe King Room,$280
2025-09-23,booking.com,2,2025-10-03,2025-10-06,KozyStay Toronto,"North York, Toronto",N/A,N/A,N/A,Three-Bedroom House,$182
