Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review,Room Type,Distance from attraction,Deal Info,price
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",N/A,Deluxe King Room,0.6 miles from downtown,N/A,$176
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",N/A,King Room,0.7 miles from downtown,N/A,$196
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",N/A,Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$154
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",N/A,Queen Room with Balcony,1.1 miles from downtown,N/A,$129
2025-09-24,booking.com,2,2025-09-30,2025-10-03,B Hotel,Toronto,N/A,Suite with City View,2.7 miles from downtown,N/A,$147
2025-09-24,booking.com,2,2025-09-30,2025-10-03,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",N/A,Tower Premium Suite,0.3 miles from downtown,Free airport taxi,$355
2025-09-24,booking.com,2,2025-09-30,2025-10-03,The Parkdale Hostellerie,Toronto,N/A,One-Bedroom Apartment,2.6 miles from downtown,N/A,$90
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Private Apartment Close to Airport Toronto Pearson,"Etobicoke, Toronto",N/A,One-Bedroom Apartment,10.3 miles from downtown,N/A,$82
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Woodbine Hotel & Suites,"Etobicoke, Toronto",N/A,Queen Room,11.3 miles from downtown,N/A,$101
2025-09-24,booking.com,2,2025-09-30,2025-10-03,3-Bedroom Apartment in the Heart of Downtown Toronto Walk to Shops and Attractions,"Entertainment District, Toronto (Entertainment District)",N/A,Three-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,"$1,200"
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Town Inn Suites Hotel,"The Village, Toronto (The Village)",N/A,Deluxe Suite,1.2 miles from downtown,N/A,$187
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",N/A,Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$182
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Medium size room for 2,"Downtown Toronto, Toronto",N/A,Family Room,1.3 miles from downtown,N/A,$81
2025-09-24,booking.com,2,2025-09-30,2025-10-03,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",N/A,Queen Room,0.3 miles from downtown,N/A,$289
2025-09-24,booking.com,2,2025-09-30,2025-10-03,Union Hotel,"Financial District, Toronto (Financial District)",N/A,Queen Room,0.4 miles from downtown,Free airport taxi,$371
