Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Falstaff Home,Toronto,Double Room,7.3 miles from downtown,Limited-time Deal,$58
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Apartment with Queen Bed and Balcony,2.2 miles from downtown,N/A,$193
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy Luxurious Villa in Toronto,"Scarborough, Toronto",One-Bedroom Villa,7.8 miles from downtown,N/A,$452
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"The Slate Hotel Downtown, Sonder by Marriott Bonvoy","Entertainment District, Toronto (Entertainment District)",King Room,0.7 miles from downtown,N/A,$217
2025-10-01,booking.com,2,2025-10-10,2025-10-13,2 bedrooms toronto suites,"Downtown Toronto, Toronto",Deluxe King Suite,1.3 miles from downtown,N/A,$953
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Two BD CN Tower and Lake Ontario View,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment,0.7 miles from downtown,N/A,$347
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Saint Lawrence Residences and Suites,"Old Town Toronto, Toronto (Old Town Toronto)",Queen Room with Shared Bathroom,0.5 miles from downtown,N/A,$134
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Park Hyatt Toronto,"The Annex, Toronto (The Annex)",King Room,1.4 miles from downtown,N/A,$474
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Skyline Retreat Residences,"Entertainment District, Toronto (Entertainment District)",Apartment with View and Balcony,0.7 miles from downtown,N/A,$294
2025-10-01,booking.com,2,2025-10-10,2025-10-13,BLOOR ST DOWNTOWN SUITE FULL APARTMENT -Private Patio,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.3 miles from downtown,N/A,$215
