Event Name,Date,Venue,Address,Latitude,Longitude,Segment,Genre,SubGenre,event_score
Muslim International Film Festival - 2025,2025-10-10,Meridian Arts Centre: Lyric Theatre,5040 Yonge Street,43.766031,-79.414375,Arts & Theatre,Cultural,Cultural,12.0
Toronto Maple Leafs v Detroit Red Wings,2025-10-13,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Boston Celtics,2025-10-10,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v Seattle Kraken,2025-10-18,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Nashville Predators,2025-10-14,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v New York Rangers,2025-10-16,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Brooklyn Nets,2025-10-17,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Laufey: A Matter Of Time (North America),2025-10-20,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Laufey: A Matter Of Time (North America),2025-10-19,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Bladee - Martyr Tour,2025-10-12,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Pop,Pop,7.33
Jesse McCartney: The Weightless Tour,2025-10-16,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Arc De Soleil: La Mirage Tour,2025-10-19,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Jensen McRae,2025-10-17,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Pop,Pop,7.33
The Wall In Concert,2025-10-19,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Music,Rock,Pop,7.33
Neko Case,2025-10-20,Massey Hall,178 Victoria Street,43.653809,-79.378548,Music,Rock,Pop,7.33
DESTIN CONRAD - LOVE ON DIGITAL TOUR,2025-10-12,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Dan Mangan - Natural Light Tour,2025-10-10,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Dark Side of the Moon In Concert,2025-10-19,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Music,Rock,Pop,7.33
Oklou,2025-10-14,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Oklou - MOVED TO DANFORTH MUSIC HALL,2025-10-14,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Toronto Marlies v Rochester Americans,2025-10-11,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Toronto Marlies v Utica Comets,2025-10-19,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Sports,Hockey,Ahl,6.67
Jeff Tweedy,2025-10-10,The Concert Hall,The Masonic Temple,43.67308,-79.38842,Music,Rock,Pop,6.6
Jukebox the Ghost,2025-10-13,The Horseshoe Tavern,370 Queen Street West,43.64911,-79.39588,Music,Rock,Pop,6.6
LOVERBOY - MUSIC THAT MOVES,2025-10-16,Under the Neon Palms at the El Mocambo,464 Spadina Avenue,43.65758,-79.4002,Music,Rock,Pop,6.6
6arelyhuman - Digital Dancer Tour,2025-10-16,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Pop,Pop,6.6
quinnie - The Paper Doll Tour,2025-10-10,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Pop,Pop,6.6
BETWEEN FRIENDS - WOW! TOUR,2025-10-10,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
David Archuleta - Earthly Delights Tour,2025-10-12,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
降噪 . DE-NOISE x Yuqi Live House,2025-10-19,The Dance Cave,529 Bloor Street West,43.665244,-79.409452,Music,R&B,R&B,6.6
Midnight Generation - Tender Love World Tour,2025-10-19,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Pop,6.6
Vincent Lima: To Love A Thing That Fades 2025 Tour,2025-10-18,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Rock,Pop,6.6
Shef Leppard Live at El Mocambo,2025-10-17,The Starlight Room at The El Mocambo,464 Spadina Avenue,43.6575661,-79.4001349,Music,Rock,Rock,6.6
Dice,2025-10-18,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Rock,Pop,6.6
Molly Grace,2025-10-17,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Rock,Pop,6.6
Delicate Steve,2025-10-14,The Horseshoe Tavern,370 Queen Street West,43.64911,-79.39588,Music,Rock,Pop,6.6
JONAH MARAIS: HEARTS BACK HOME TOUR,2025-10-15,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Pop,Pop,6.6
TWRP - The Longest Weekend 2025 Tour,2025-10-10,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Rock,Pop,6.6
MJ (Touring),2025-10-12,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-14,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-16,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-10,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-11,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-18,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-17,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-19,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
MJ (Touring),2025-10-15,Ed Mirvish Theatre,244 Victoria Street,0.0,0.0,Arts & Theatre,Theatre,Musical,6.33
TMU Bold vs Western (Men's Hockey),2025-10-10,Mattamy Athletic Centre,50 Carlton Street,43.662302,-79.379993,Sports,Hockey,Unknown,6.0
Friday - Darcel Wright Memorial Classic Day Pass,2025-10-10,Mattamy Athletic Centre,50 Carlton Street,43.662302,-79.379993,Sports,Basketball,Unknown,6.0
Saturday - Darcel Wright Memorial Classic Day Pass,2025-10-11,Mattamy Athletic Centre,50 Carlton Street,43.662302,-79.379993,Sports,Basketball,Unknown,6.0
Grandaddy - 25th Anniversary of Sophtware Slump,2025-10-11,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Alternative Rock,5.67
Black Pistol Fire - Flagrant Act of Bliss Tour,2025-10-20,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Alternative Rock,5.67
Modest Mouse,2025-10-13,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Alternative Rock,5.67
Toronto FC vs. Orlando City SC,2025-10-18,BMO Field,170 Princes' Blvd,43.6326489,-79.4202924,Sports,Soccer,Mls,5.4
AFC TORONTO VS. MONTREAL ROSES FC,2025-10-19,York Lions Stadium,Ian MacDonald Boulevard,43.773053,-79.503552,Sports,Soccer,Soccer,5.4
Adam Sandler: You're My Best Friend,2025-10-12,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Arts & Theatre,Comedy,Comedy,5.2
Geese - The Getting Killed Tour,2025-10-11,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Rock,Alternative Rock,5.1
Emo Night Toronto w/ DJ Liam Cormier - Oct 10 2025,2025-10-10,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Rock,Emo,5.1
"The Exploited, Spades GT",2025-10-19,The Rockpile Bar & Nightclub,5555A Dundas St. West,43.62942,-79.548931,Music,Rock,Hardcore Punk,5.1
ThxSoMch,2025-10-20,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Alternative Rock,5.1
After,2025-10-18,The Baby G,"1608 Dundas St, West",43.650019,-79.435404,Music,Rock,Alternative Rock,5.1
Emo Night Toronto at Sneaky Dee's,2025-10-17,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Rock,Emo,5.1
"The Queers, The Riptides",2025-10-16,The Rockpile Bar & Nightclub,5555A Dundas St. West,43.62942,-79.548931,Music,Rock,Punk,5.1
The Frights,2025-10-18,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Rock,Punk,5.1
"The Exploited, Burnt Knives",2025-10-18,The Rockpile Bar & Nightclub,5555A Dundas St. West,43.62942,-79.548931,Music,Rock,Hardcore Punk,5.1
YIN YIN with Terror/Cactus,2025-10-12,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,R&B,Funk,5.1
NOVULENT,2025-10-13,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Rock,Alternative Rock,5.1
54 Ultra,2025-10-15,The Drake Hotel,1150 Queen Street West,43.6431078,-79.4246457,Music,Rock,Alternative Rock,5.1
