Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price_usd,Distance from Attraction,price_cad,booking_lead_time,length_of_stay,day_of_week,month,week_of_year,is_weekend,district,hotel_latitude,hotel_longitude,geocoding_status
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,"Downtown Toronto Condo, Free indoor parking with amazing view","Downtown Toronto, Toronto",Two-Bedroom Apartment,1.2,Limited-time Deal,412.0,,572.68,14,2,Monday,October,42,False,Downtown Toronto,43.649439,-79.397457,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,One-Bedroom Apartment with Queen Bed,2.4,,219.0,,304.41,14,2,Monday,October,42,False,,43.663462,-79.3977597,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6,,209.0,,290.51,14,2,Monday,October,42,False,Entertainment District,43.6467736,-79.3885292,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room,0.3,,212.0,,294.68,14,2,Monday,October,42,False,Downtown Toronto,43.649439,-79.397457,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Queen Room,0.5,,137.0,,190.43,14,2,Monday,October,42,False,Yonge - Dundas,43.6563275,-79.3809079,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Sheraton Toronto Airport Hotel & Conference Centre,"Etobicoke, Toronto","Traditional, Guest room, 2 Queen",10.5,,187.0,,259.93,14,2,Monday,October,42,False,Etobicoke,43.6435559,-79.5656326,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1,,115.0,,159.85,14,2,Monday,October,42,False,Kensington Market,43.6574531,-79.4016633,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,B Hotel,Toronto,Suite with City View,2.7,,143.0,,198.77,14,2,Monday,October,42,False,,43.663462,-79.3977597,Success
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7,,168.0,,233.52,14,2,Monday,October,42,False,The Village,,,"Error: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /search?q=The+Village%2C+Toronto+%28The+Village%29%2C+Toronto%2C+Ontario%2C+Canada&format=json&limit=1 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=5)""))"
2025-09-28,booking.com,2.0,2025-10-13,2025-10-15,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",Queen Room with 2 Queen Beds - Non Smoking,0.9,,300.0,,417.0,14,2,Monday,October,42,False,The Harbourfront,43.6434337,-79.3790777,Success
