Event Name,Date,Venue,Address,Latitude,Longitude,Segment,Genre,SubGenre,event_score
2025 Toronto Blue Jays - TD Executive Suites,2025-03-26,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays Wild Card Home Game 3,2025-10-02,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays vs. Boston Red Sox,2025-09-25,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays vs. Boston Red Sox,2025-09-24,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-26,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-28,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays Wild Card Home Game 1,2025-09-30,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays vs. Tampa Bay Rays,2025-09-27,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Toronto Blue Jays Wild Card Home Game 2,2025-10-01,Rogers Centre,1 Blue Jays Way,43.6417384,-79.3917447,Sports,Baseball,Mlb,13.0
Muslim International Film Festival - 2025,2025-10-10,Meridian Arts Centre: Lyric Theatre,5040 Yonge Street,43.766031,-79.414375,Arts & Theatre,Cultural,Cultural,12.0
Unify Deaf Film Festival 2025: Short Films (w/OC),2025-10-24,TIFF Lightbox Cinema 2,350 King Street West,43.646688,-79.39043,Unknown,Unknown,Unknown,12.0
Toronto Maple Leafs v Columbus Blue Jackets,2025-11-20,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Cleveland Cavaliers,2025-11-24,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Milwaukee Bucks,2025-11-04,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Charlotte Hornets,2025-11-17,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v San Jose Sharks,2025-12-11,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Washington Wizards,2025-11-21,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v Boston Bruins,2025-11-08,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Montreal Canadiens,2025-09-27,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Portland Trail Blazers,2025-12-02,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v Edmonton Oilers,2025-12-13,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Ottawa Senators,2025-12-27,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Golden State Warriors,2025-12-28,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Los Angeles Lakers,2025-12-04,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v New Jersey Devils,2025-12-30,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Montreal Canadiens,2025-10-08,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Detroit Red Wings,2025-10-13,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Pittsburgh Penguins,2025-12-23,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Boston Celtics,2025-12-20,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Boston Celtics,2025-10-10,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Charlotte Hornets,2025-12-05,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v Seattle Kraken,2025-10-18,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Nashville Predators,2025-10-14,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Tampa Bay Lightning,2025-12-08,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Utah Mammoth,2025-11-05,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Memphis Grizzlies,2025-11-02,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v New York Rangers,2025-10-16,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v New Jersey Devils,2025-10-21,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Houston Rockets,2025-10-29,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v Calgary Flames,2025-10-28,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Buffalo Sabres,2025-10-25,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Detroit Red Wings,2025-10-02,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Brooklyn Nets,2025-10-17,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Milwaukee Bucks,2025-10-24,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Maple Leafs v Chicago Blackhawks,2025-12-16,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Pittsburgh Penguins,2025-11-03,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v St. Louis Blues,2025-11-18,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Los Angeles Kings,2025-11-13,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Carolina Hurricanes,2025-11-09,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Maple Leafs v Montreal Canadiens,2025-12-06,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Nhl,11.2
Toronto Raptors vs. Boston Celtics,2025-12-07,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Indiana Pacers,2025-11-26,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Brooklyn Nets,2025-11-23,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Toronto Raptors vs. Orlando Magic,2025-12-29,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Basketball,Nba,11.2
Cindy Lee,2025-11-06,Massey Hall,178 Victoria Street,0.0,0.0,Undefined,Unknown,Unknown,10.5
SABRINA CARPENTER: SHORT N' SWEET TOUR,2025-11-10,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Pop,Pop,8.8
SZA - SOS Tour,2025-12-05,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,R&B,R&B,8.8
Lorde: Ultrasound,2025-09-24,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Alice Cooper & Judas Priest Live,2025-09-29,Budweiser Stage,909 Lakeshore Blvd. W.,43.6294544,-79.4149193,Music,Rock,Pop,8.8
Bryan Adams: Roll with the Punches w/ guest The Sheepdogs,2025-10-03,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Laufey: A Matter Of Time (North America),2025-10-20,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Stevie Nicks,2025-11-15,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Shawn Mendes - On The Road Again,2025-09-28,Budweiser Stage,909 Lakeshore Blvd. W.,43.6294544,-79.4149193,Music,Rock,Pop,8.8
SABRINA CARPENTER: SHORT N' SWEET TOUR,2025-11-11,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Pop,Pop,8.8
Laufey: A Matter Of Time (North America),2025-10-19,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Music,Rock,Pop,8.8
Toronto Marlies v Belleville Senators,2025-12-26,Scotiabank Arena,"50 Bay Street, Suite 500",43.6439254,-79.3783234,Sports,Hockey,Ahl,8.0
Black Rebel Motorcycle Club,2025-10-05,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Bladee - Martyr Tour,2025-10-12,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Pop,Pop,7.33
Dermot Kennedy - A promised return: special intimate tour,2025-10-23,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Lee Fields & Monophonics,2025-10-08,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Stars,2025-12-05,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Jesse McCartney: The Weightless Tour,2025-10-16,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Gowan,2025-11-29,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Cleopatrick,2025-12-04,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
JP Saxe - Make Yourself At Home Tour,2025-10-01,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Khamari - To Dry a Tear Tour,2025-11-12,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Beta Band,2025-10-25,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Parcels - PARCELS LIVE 2025,2025-10-21,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Rock,Pop,7.33
THRICE,2025-11-04,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
King Princess - The Girl Violence Tour,2025-11-04,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Pop,Pop,7.33
hannah bahng: The Misunderstood World Tour,2025-11-05,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Pop,Pop,7.33
Sophie Ellis Bextor,2025-11-03,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Lola Young,2025-11-02,History,1663 Queen St. East,43.66684147,-79.31351149,Music,R&B,R&B,7.33
RON SEXSMITH BAND 'Hangover Terrace' TOUR,2025-11-14,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
The Strumbellas - Into Dust Tour,2025-11-14,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Blood Orange: Tour 2025,2025-11-20,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Robert Plant's Saving Grace ft. Suzi Dian,2025-11-10,Massey Hall,178 Victoria Street,43.653809,-79.378548,Music,Rock,Pop,7.33
Walk Off the Earth,2025-11-07,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Yusuf / Cat Stevens: Cat On The Road To Findout - The Book Tour,2025-10-08,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Addison Rae,2025-10-08,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Pop,Pop,7.33
G FLIP: THE DREAM RIDE TOUR,2025-10-08,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Addison Rae - Moved To Coca-Cola Coliseum,2025-10-08,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Pop,Pop,7.33
Arc De Soleil: La Mirage Tour,2025-10-19,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Jensen McRae,2025-10-17,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Pop,Pop,7.33
Hawksley Workman,2025-11-15,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Lovejoy - One Simple Tour,2025-10-21,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Sarah McLachlan: 'Fumbling Towards Ecstasy' 30th Anniversary Tour,2025-11-08,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
PinkPantheress,2025-10-27,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Pop,Pop,7.33
Sam Fender - People Watching Tour,2025-10-03,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Rock,Pop,7.33
Jessie J - No Secrets Tour,2025-11-12,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Pop,Pop,7.33
PORTUGAL. THE MAN - The Denali Tour,2025-11-27,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Set It Off: The Self Titled Tour,2025-12-01,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Pop,Pop,7.33
The Beths,2025-11-27,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
DAMIANO DAVID,2025-12-02,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Rock,Pop,7.33
The Beths,2025-11-28,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Blood Orange: Tour 2025,2025-11-19,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
The Wall In Concert,2025-10-19,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Music,Rock,Pop,7.33
Dijon,2025-11-26,History,1663 Queen St. East,43.66684147,-79.31351149,Music,R&B,R&B,7.33
Neko Case,2025-10-20,Massey Hall,178 Victoria Street,43.653809,-79.378548,Music,Rock,Pop,7.33
DESTIN CONRAD - LOVE ON DIGITAL TOUR,2025-10-12,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,R&B,R&B,7.33
Dan Mangan - Natural Light Tour,2025-10-10,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
Royel Otis meet me in the car tour,2025-10-07,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Rock,Pop,7.33
Jeremy Zucker - Welcome to the Garden State Tour,2025-10-09,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Pop,Pop,7.33
"Steve Hackett: Genesis Greats, Lamb Highlights & Solo",2025-10-07,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Rock,Pop,7.33
Vitamin String Quartet,2025-10-28,Massey Hall,178 Victoria St.,43.6541869,-79.3789975,Music,Pop,Pop,7.33
Dark Side of the Moon In Concert,2025-10-19,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Music,Rock,Pop,7.33
Stereolab,2025-10-06,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Rock,Pop,7.33
