Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,price_usd,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events,price_cad,length_of_stay,is_holiday,district,latitude,longitude,is_weekend,week_of_year,booking_lead_time,room_category
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6,176.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,0,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,237.6,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Deluxe Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Apartment with Queen Bed and Balcony,2.2,189.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,1,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,255.15,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,One-Bedroom Apartment
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5,182.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,2,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,245.7,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Family Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",Historic Studio Suite,0.3,189.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,255.15,3,True,King Street West,43.6435,-79.3929,True,41,8,Suite
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1,144.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,4,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,194.4,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard Queen
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7,219.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,5,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,295.65,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Family Room
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",King Room with City View - Non Smoking,0.9,187.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,6,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,252.45,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard King
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Suite,1.2,148.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,7,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,199.8,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Suite
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11.0,145.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,8,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,195.75,3,True,Airport Area,43.6777,-79.6248,True,41,8,Suite
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room,0.3,226.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,9,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.33333333333333,True,True,305.1,3,True,Yonge - Dundas,43.6532,-79.3832,True,41,8,Standard Queen
