Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,,$176,,,,,,,,,,,,,,,,,,0,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,One-Bedroom Apartment with Queen Bed and Balcony,2.2 miles from downtown,,$189,,,,,,,,,,,,,,,,,,1,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,,$182,,,,,,,,,,,,,,,,,,2,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,One King West Hotel and Residence,"Financial District, Toronto (Financial District)",Historic Studio Suite,0.3 miles from downtown,Free airport taxi,$189,,,,,,,,,,,,,,,,,,3,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,,$144,,,,,,,,,,,,,,,,,,4,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,,$219,,,,,,,,,,,,,,,,,,5,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)",King Room with City View - Non Smoking,0.9 miles from downtown,,$187,,,,,,,,,,,,,,,,,,6,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe Suite,1.2 miles from downtown,,$148,,,,,,,,,,,,,,,,,,7,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,,$145,,,,,,,,,,,,,,,,,,8,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto",Queen Room,0.3 miles from downtown,,$226,,,,,,,,,,,,,,,,,,9,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,,$111,,,,,,,,,,,,,,,,,,10,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7 miles from downtown,,$122,,,,,,,,,,,,,,,,,,11,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 1 Queen",0.1 miles from downtown,,$231,,,,,,,,,,,,,,,,,,12,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",1 Bedroom,0.3 miles from downtown,,$180,,,,,,,,,,,,,,,,,,13,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room,11.2 miles from downtown,,$102,,,,,,,,,,,,,,,,,,14,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room with Lake View,2 miles from downtown,,$275,,,,,,,,,,,,,,,,,,15,334.98,12.0,4.09,82,0,2,0.9,Music,2,27.333333333333332,1,1
